input 0, model gemma3:4b, multimodal True, temp 0, question_time 5.0179431438446045, answer /gpt-mission-planner/app/gpt_outputs/tmpqj3t0mk4, ret 5.364554405212402, answer /gpt-mission-planner/app/gpt_outputs/tmpsd_9yoga, ret 5.73991322517395, answer /gpt-mission-planner/app/gpt_outputs/tmp_08pj6tx, ret 5.761718034744263, answer /gpt-mission-planner/app/gpt_outputs/tmpsvlwd_0m, ret 1.2565727233886719, answer /gpt-mission-planner/app/gpt_outputs/tmphp2mr3f_, ret 1.0821406841278076, answer /gpt-mission-planner/app/gpt_outputs/tmprx3rfd2i, ret 0.9518718719482422, answer /gpt-mission-planner/app/gpt_outputs/tmpy6198nlf, ret 0.4638633728027344, answer /gpt-mission-planner/app/gpt_outputs/tmpctp9x8d8, ret 0.6822960376739502, answer /gpt-mission-planner/app/gpt_outputs/tmpdwb117l3, ret 0.6032845973968506, answer /gpt-mission-planner/app/gpt_outputs/tmpvgi08pp5, ret 0.8664243221282959, answer /gpt-mission-planner/app/gpt_outputs/tmpgrpwz_bk, succ False
input 3, model gemma3:4b, multimodal False, temp 0, question_time 6.363897800445557, answer /gpt-mission-planner/app/gpt_outputs/tmp18nqbd66, ret 4.691993474960327, answer /gpt-mission-planner/app/gpt_outputs/tmp9l1teb2u, ret 4.797218561172485, answer /gpt-mission-planner/app/gpt_outputs/tmp5xcwa0oc, ret 5.237564563751221, answer /gpt-mission-planner/app/gpt_outputs/tmpj5iz8s3y, ret 5.187233924865723, answer /gpt-mission-planner/app/gpt_outputs/tmp6onh64dz, ret 5.4615607261657715, answer /gpt-mission-planner/app/gpt_outputs/tmpcf_wmlnc, ret 5.670421838760376, answer /gpt-mission-planner/app/gpt_outputs/tmpxrubcmb4, ret 5.1430277824401855, answer /gpt-mission-planner/app/gpt_outputs/tmp7s4dul3b, ret 2.7512519359588623, answer /gpt-mission-planner/app/gpt_outputs/tmp9gf2k7j4, ret 2.9386649131774902, answer /gpt-mission-planner/app/gpt_outputs/tmpt1sj04ll, ret 3.0964481830596924, answer /gpt-mission-planner/app/gpt_outputs/tmpr239fwvd, succ False
input 4, model gemma3:4b, multimodal False, temp 0, question_time 4.7663373947143555, answer /gpt-mission-planner/app/gpt_outputs/tmpem8ob8m0, ret 5.225433349609375, answer /gpt-mission-planner/app/gpt_outputs/tmp5hfz98iz, ret 5.284013032913208, answer /gpt-mission-planner/app/gpt_outputs/tmppy7c7qyj, ret 5.338943243026733, answer /gpt-mission-planner/app/gpt_outputs/tmp1kcom45a, ret 5.692028045654297, answer /gpt-mission-planner/app/gpt_outputs/tmp9do_1ixb, ret 5.662326335906982, answer /gpt-mission-planner/app/gpt_outputs/tmpyebt7szl, ret 5.813078880310059, answer /gpt-mission-planner/app/gpt_outputs/tmp63wf2zgs, ret 5.668126344680786, answer /gpt-mission-planner/app/gpt_outputs/tmp9ix654zy, ret 5.709355354309082, answer /gpt-mission-planner/app/gpt_outputs/tmp4f7mkqxv, ret 5.673316478729248, answer /gpt-mission-planner/app/gpt_outputs/tmp1rfnhfod, ret 5.617310047149658, answer /gpt-mission-planner/app/gpt_outputs/tmpufxhdoq3, succ False
input 5, model gemma3:4b, multimodal False, temp 0, question_time 4.485302686691284, answer /gpt-mission-planner/app/gpt_outputs/tmpjyd_pqte, ret 5.098777532577515, answer /gpt-mission-planner/app/gpt_outputs/tmplh29ikz6, ret 5.597741365432739, answer /gpt-mission-planner/app/gpt_outputs/tmpgp77zlrr, ret 6.429506540298462, answer /gpt-mission-planner/app/gpt_outputs/tmp7_22w5oq, ret 5.952004671096802, answer /gpt-mission-planner/app/gpt_outputs/tmpr7ou_0y6, ret 6.085728168487549, answer /gpt-mission-planner/app/gpt_outputs/tmpknruol6a, ret 6.076879978179932, answer /gpt-mission-planner/app/gpt_outputs/tmplje4x7km, ret 6.215200662612915, answer /gpt-mission-planner/app/gpt_outputs/tmp5_ni3zc3, ret 6.181219816207886, answer /gpt-mission-planner/app/gpt_outputs/tmp_45n1yw6, ret 6.44907021522522, answer /gpt-mission-planner/app/gpt_outputs/tmpabhkjh81, ret 6.153479099273682, answer /gpt-mission-planner/app/gpt_outputs/tmpuh54rlm0, succ False
input 6, model gemma3:4b, multimodal False, temp 0, question_time 9.110837936401367, answer /gpt-mission-planner/app/gpt_outputs/tmp8uglb_r6, ret 7.574106216430664, answer /gpt-mission-planner/app/gpt_outputs/tmpgclckraa, ret 7.608291387557983, answer /gpt-mission-planner/app/gpt_outputs/tmphp_z0vw7, ret 7.556154012680054, answer /gpt-mission-planner/app/gpt_outputs/tmp9oxoyzqn, ret 7.999183416366577, answer /gpt-mission-planner/app/gpt_outputs/tmpxcaukjcs, ret 8.27603816986084, answer /gpt-mission-planner/app/gpt_outputs/tmpy00rzyoc, ret 8.004470348358154, answer /gpt-mission-planner/app/gpt_outputs/tmpm9wmgbbg, ret 8.416663885116577, answer /gpt-mission-planner/app/gpt_outputs/tmpc7lf5r0i, ret 8.572642087936401, answer /gpt-mission-planner/app/gpt_outputs/tmpzgu4nb1f, ret 8.212318420410156, answer /gpt-mission-planner/app/gpt_outputs/tmpx3gnjqae, ret 8.343522787094116, answer /gpt-mission-planner/app/gpt_outputs/tmpat23rgi8, succ False
input 7, model gemma3:4b, multimodal False, temp 0, question_time 5.883254051208496, answer /gpt-mission-planner/app/gpt_outputs/tmpdlgypctb, ret 4.750748157501221, answer /gpt-mission-planner/app/gpt_outputs/tmpvwffqjsd, ret 4.4450294971466064, answer /gpt-mission-planner/app/gpt_outputs/tmpoj0ujx0y, ret 4.107116222381592, answer /gpt-mission-planner/app/gpt_outputs/tmp_6n_xk5i, ret 0.9760642051696777, answer /gpt-mission-planner/app/gpt_outputs/tmpoj71xjfd, ret 0.80971360206604, answer /gpt-mission-planner/app/gpt_outputs/tmpnlla8hke, ret 0.6810331344604492, answer /gpt-mission-planner/app/gpt_outputs/tmpm7ks9vj6, ret 0.8477029800415039, answer /gpt-mission-planner/app/gpt_outputs/tmpmwu3cq94, ret 0.7488038539886475, answer /gpt-mission-planner/app/gpt_outputs/tmpmrmdxtxp, ret 0.7533209323883057, answer /gpt-mission-planner/app/gpt_outputs/tmpej8tvyuv, ret 0.7609701156616211, answer /gpt-mission-planner/app/gpt_outputs/tmpiuwnh1_o, succ False
input 8, model gemma3:4b, multimodal False, temp 0, question_time 11.77599573135376, answer /gpt-mission-planner/app/gpt_outputs/tmp6w01qexq, ret 10.058160543441772, answer /gpt-mission-planner/app/gpt_outputs/tmpuhflsrqw, ret 8.451470375061035, answer /gpt-mission-planner/app/gpt_outputs/tmppq2kj08m, ret 8.394836902618408, answer /gpt-mission-planner/app/gpt_outputs/tmp4orqsx2j, ret 2.204148054122925, answer /gpt-mission-planner/app/gpt_outputs/tmpbevvj_lk, ret 2.059905767440796, answer /gpt-mission-planner/app/gpt_outputs/tmpv52t5c2w, ret 2.0147433280944824, answer /gpt-mission-planner/app/gpt_outputs/tmpfstr886f, ret 2.3820509910583496, answer /gpt-mission-planner/app/gpt_outputs/tmpueuildm4, ret 2.4549314975738525, answer /gpt-mission-planner/app/gpt_outputs/tmpbtz0iyz5, ret 1.2001090049743652, answer /gpt-mission-planner/app/gpt_outputs/tmp69vcxmky, ret 2.0770022869110107, answer /gpt-mission-planner/app/gpt_outputs/tmpmmwasbpe, succ False
input 9, model gemma3:4b, multimodal False, temp 0, question_time 4.0060343742370605, answer /gpt-mission-planner/app/gpt_outputs/tmpjdxohrlo, ret 4.650400638580322, answer /gpt-mission-planner/app/gpt_outputs/tmptcz21eja, ret 5.271585941314697, answer /gpt-mission-planner/app/gpt_outputs/tmpmgkmzcua, ret 5.434751272201538, answer /gpt-mission-planner/app/gpt_outputs/tmpino5_i4f, ret 5.8961181640625, answer /gpt-mission-planner/app/gpt_outputs/tmp3elnlfgd, ret 6.199418306350708, answer /gpt-mission-planner/app/gpt_outputs/tmpm1zc8x_r, ret 6.281696557998657, answer /gpt-mission-planner/app/gpt_outputs/tmpz8lbrdlw, ret 3.3961234092712402, answer /gpt-mission-planner/app/gpt_outputs/tmpiyj65os0, ret 2.3909809589385986, answer /gpt-mission-planner/app/gpt_outputs/tmpjhcswc1s, ret 2.4885377883911133, answer /gpt-mission-planner/app/gpt_outputs/tmppwcyx96b, ret 2.5959298610687256, answer /gpt-mission-planner/app/gpt_outputs/tmppieoyor2, succ False
input 10, model gemma3:4b, multimodal False, temp 0, question_time 4.20386266708374, answer /gpt-mission-planner/app/gpt_outputs/tmpe5aipexs, ret 4.744680643081665, answer /gpt-mission-planner/app/gpt_outputs/tmpi62k0zih, ret 5.230499267578125, answer /gpt-mission-planner/app/gpt_outputs/tmprk45kn3z, ret 5.595397472381592, answer /gpt-mission-planner/app/gpt_outputs/tmpvn_ae67b, ret 5.83971905708313, answer /gpt-mission-planner/app/gpt_outputs/tmp_j60cvxg, ret 2.8654215335845947, answer /gpt-mission-planner/app/gpt_outputs/tmpfvzp28qz, ret 2.767770528793335, answer /gpt-mission-planner/app/gpt_outputs/tmpvcty3hb3, ret 2.849930763244629, answer /gpt-mission-planner/app/gpt_outputs/tmpyuu_iwic, ret 3.2270472049713135, answer /gpt-mission-planner/app/gpt_outputs/tmptgirsg4j, ret 3.19099497795105, answer /gpt-mission-planner/app/gpt_outputs/tmpktllp6pv, ret 3.639594078063965, answer /gpt-mission-planner/app/gpt_outputs/tmp61sz0pd4, succ False
input 0, model gemma3:4b, multimodal False, temp 0.25, question_time 9.203995943069458, answer /gpt-mission-planner/app/gpt_outputs/tmpl983_s2d, ret 7.48619532585144, answer /gpt-mission-planner/app/gpt_outputs/tmp461m2inv, ret 7.444275617599487, answer /gpt-mission-planner/app/gpt_outputs/tmp0qi0rjsg, ret 7.236786127090454, answer /gpt-mission-planner/app/gpt_outputs/tmpio29uq8e, ret 7.831672191619873, answer /gpt-mission-planner/app/gpt_outputs/tmpuq3xv_1v, ret 7.614511489868164, answer /gpt-mission-planner/app/gpt_outputs/tmpccgd0adv, ret 7.691352128982544, answer /gpt-mission-planner/app/gpt_outputs/tmp_e75hl6b, ret 7.767787218093872, answer /gpt-mission-planner/app/gpt_outputs/tmpy19npmbr, ret 7.796652317047119, answer /gpt-mission-planner/app/gpt_outputs/tmpdd1rx_u_, ret 7.833358287811279, answer /gpt-mission-planner/app/gpt_outputs/tmp710ya9yg, ret 7.866907835006714, answer /gpt-mission-planner/app/gpt_outputs/tmpt9qsqksz, succ False
input 1, model gemma3:4b, multimodal False, temp 0.25, question_time 9.177307367324829, answer /gpt-mission-planner/app/gpt_outputs/tmply7djgl3, ret 7.835903644561768, answer /gpt-mission-planner/app/gpt_outputs/tmpgaot7ebc, ret 7.495746850967407, answer /gpt-mission-planner/app/gpt_outputs/tmpnym8zfcg, ret 2.538154125213623, answer /gpt-mission-planner/app/gpt_outputs/tmp09fc_p3f, ret 8.458324193954468, answer /gpt-mission-planner/app/gpt_outputs/tmpop1bq0ui, ret 1.552886724472046, answer /gpt-mission-planner/app/gpt_outputs/tmpiv2k9qov, ret 2.1279220581054688, answer /gpt-mission-planner/app/gpt_outputs/tmpnjzk1cg6, ret 2.1939215660095215, answer /gpt-mission-planner/app/gpt_outputs/tmp44f8m1fp, ret 2.4832961559295654, answer /gpt-mission-planner/app/gpt_outputs/tmpon27u6ek, ret 1.5719428062438965, answer /gpt-mission-planner/app/gpt_outputs/tmppxtvwixc, ret 1.415290117263794, answer /gpt-mission-planner/app/gpt_outputs/tmpv3uhbls0, succ False
input 2, model gemma3:4b, multimodal False, temp 0.25, question_time 36.07367253303528, answer /gpt-mission-planner/app/gpt_outputs/tmp9__pslrg, ret 8.588552236557007, answer /gpt-mission-planner/app/gpt_outputs/tmp5ecancjh, ret 5.856329917907715, answer /gpt-mission-planner/app/gpt_outputs/tmpc55k22tn, ret 5.963827133178711, answer /gpt-mission-planner/app/gpt_outputs/tmpcd8z4yu4, ret 6.160830020904541, answer /gpt-mission-planner/app/gpt_outputs/tmp6kvv8uvl, ret 6.187534809112549, answer /gpt-mission-planner/app/gpt_outputs/tmpzj3ay339, ret 5.930554628372192, answer /gpt-mission-planner/app/gpt_outputs/tmpj9b3y0vj, ret 5.803542137145996, answer /gpt-mission-planner/app/gpt_outputs/tmpk_lh0ukc, ret 5.152754783630371, answer /gpt-mission-planner/app/gpt_outputs/tmp5hf_r3sz, ret 2.5482187271118164, answer /gpt-mission-planner/app/gpt_outputs/tmpkvvjw9xy, ret 2.7918026447296143, answer /gpt-mission-planner/app/gpt_outputs/tmpgpd85rkd, succ False
input 3, model gemma3:4b, multimodal False, temp 0.25, question_time 6.473228693008423, answer /gpt-mission-planner/app/gpt_outputs/tmphznwwbxy, ret 4.688127756118774, answer /gpt-mission-planner/app/gpt_outputs/tmpn7f26vc6, ret 4.917779922485352, answer /gpt-mission-planner/app/gpt_outputs/tmpemcbuog7, ret 4.867612361907959, answer /gpt-mission-planner/app/gpt_outputs/tmpneqn3sic, ret 4.535936117172241, answer /gpt-mission-planner/app/gpt_outputs/tmpv14p_2q2, ret 4.7725279331207275, answer /gpt-mission-planner/app/gpt_outputs/tmp5x327m7o, ret 5.160136461257935, answer /gpt-mission-planner/app/gpt_outputs/tmpskfv4bzk, ret 5.845163822174072, answer /gpt-mission-planner/app/gpt_outputs/tmpx4s84c_b, ret 5.866617202758789, answer /gpt-mission-planner/app/gpt_outputs/tmpm_78zqp9, ret 6.150017499923706, answer /gpt-mission-planner/app/gpt_outputs/tmplzdd5d3q, ret 10.460785627365112, answer /gpt-mission-planner/app/gpt_outputs/tmp6k6r7we5, succ False
input 4, model gemma3:4b, multimodal False, temp 0.25, question_time 4.581474304199219, answer /gpt-mission-planner/app/gpt_outputs/tmpg9jylh7i, ret 5.148135423660278, answer /gpt-mission-planner/app/gpt_outputs/tmpcm0t_wzh, ret 5.353050947189331, answer /gpt-mission-planner/app/gpt_outputs/tmpiqenri4y, ret 5.2848570346832275, answer /gpt-mission-planner/app/gpt_outputs/tmppehlg7i1, ret 5.487163543701172, answer /gpt-mission-planner/app/gpt_outputs/tmpegga08r9, ret 5.367214202880859, answer /gpt-mission-planner/app/gpt_outputs/tmpqqe_q_yw, ret 5.4294517040252686, answer /gpt-mission-planner/app/gpt_outputs/tmpblgn5dg3, ret 5.291874408721924, answer /gpt-mission-planner/app/gpt_outputs/tmp7ypes6wl, ret 5.227730751037598, answer /gpt-mission-planner/app/gpt_outputs/tmp5re6qepe, ret 5.225581645965576, answer /gpt-mission-planner/app/gpt_outputs/tmp_gk5q1i3, ret 5.308966159820557, answer /gpt-mission-planner/app/gpt_outputs/tmpenqh1k0a, succ False
input 5, model gemma3:4b, multimodal False, temp 0.25, question_time 5.352657079696655, answer /gpt-mission-planner/app/gpt_outputs/tmpmzong4x2, ret 6.275306463241577, answer /gpt-mission-planner/app/gpt_outputs/tmp5th5g6or, ret 6.253809690475464, answer /gpt-mission-planner/app/gpt_outputs/tmpugnsqv27, ret 5.447330951690674, answer /gpt-mission-planner/app/gpt_outputs/tmpgqggbijj, ret 5.001185417175293, answer /gpt-mission-planner/app/gpt_outputs/tmpedawrnco, ret 2.4954986572265625, answer /gpt-mission-planner/app/gpt_outputs/tmplnai2i4q, ret 1.562488317489624, answer /gpt-mission-planner/app/gpt_outputs/tmpzu5qzitm, ret 1.592569351196289, answer /gpt-mission-planner/app/gpt_outputs/tmpnv7uoxkg, ret 1.1075613498687744, answer /gpt-mission-planner/app/gpt_outputs/tmp9gpg38lv, ret 0.8557193279266357, answer /gpt-mission-planner/app/gpt_outputs/tmpk4sao7os, ret 0.7311182022094727, answer /gpt-mission-planner/app/gpt_outputs/tmp8918w67_, succ False
input 6, model gemma3:4b, multimodal False, temp 0.25, question_time 13.95816445350647, answer /gpt-mission-planner/app/gpt_outputs/tmp8qndp81w, ret 10.139233827590942, answer /gpt-mission-planner/app/gpt_outputs/tmpvb2r94v5, ret 10.393705129623413, answer /gpt-mission-planner/app/gpt_outputs/tmp0dc90s3q, ret 10.592490911483765, answer /gpt-mission-planner/app/gpt_outputs/tmpi1chbyek, ret 10.470653533935547, answer /gpt-mission-planner/app/gpt_outputs/tmpwwk0lieb, ret 10.054244756698608, answer /gpt-mission-planner/app/gpt_outputs/tmpxoywpo1e, ret 10.20595669746399, answer /gpt-mission-planner/app/gpt_outputs/tmpwdowc7wn, ret 10.084258556365967, answer /gpt-mission-planner/app/gpt_outputs/tmpamash_1y, ret 10.119979619979858, answer /gpt-mission-planner/app/gpt_outputs/tmpa94agiok, ret 10.193202257156372, answer /gpt-mission-planner/app/gpt_outputs/tmpqftl43l0, ret 10.01347541809082, answer /gpt-mission-planner/app/gpt_outputs/tmpmtzsz9p3, succ False
input 7, model gemma3:4b, multimodal False, temp 0.25, question_time 5.543825387954712, answer /gpt-mission-planner/app/gpt_outputs/tmpfg_491zu, ret 4.059722423553467, answer /gpt-mission-planner/app/gpt_outputs/tmpt9tk4b1_, ret 3.8004937171936035, answer /gpt-mission-planner/app/gpt_outputs/tmpf6g3lkzb, ret 3.8383498191833496, answer /gpt-mission-planner/app/gpt_outputs/tmprc_1cji1, ret 4.019316911697388, answer /gpt-mission-planner/app/gpt_outputs/tmpeorsznqt, ret 3.847090005874634, answer /gpt-mission-planner/app/gpt_outputs/tmp0svl9xfb, ret 4.088259696960449, answer /gpt-mission-planner/app/gpt_outputs/tmpizii5fvz, ret 4.098771095275879, answer /gpt-mission-planner/app/gpt_outputs/tmppvhh3m2g, ret 4.123561143875122, answer /gpt-mission-planner/app/gpt_outputs/tmpiuj87qxw, ret 4.123153448104858, answer /gpt-mission-planner/app/gpt_outputs/tmppkpq7nd4, ret 4.137498617172241, answer /gpt-mission-planner/app/gpt_outputs/tmpwezqylse, succ False
input 8, model gemma3:4b, multimodal False, temp 0.25, question_time 18.591819047927856, answer /gpt-mission-planner/app/gpt_outputs/tmpmg8_76s2, ret 6.0031492710113525, answer /gpt-mission-planner/app/gpt_outputs/tmp9ee566sq, ret 1.7638611793518066, answer /gpt-mission-planner/app/gpt_outputs/tmpdiqn9are, ret 1.4539251327514648, answer /gpt-mission-planner/app/gpt_outputs/tmpd34g5v05, ret 1.5840280055999756, answer /gpt-mission-planner/app/gpt_outputs/tmpn_vne35p, ret 1.1155273914337158, answer /gpt-mission-planner/app/gpt_outputs/tmpvvglhwor, ret 1.0846707820892334, answer /gpt-mission-planner/app/gpt_outputs/tmpg73slhc2, ret 0.8171079158782959, answer /gpt-mission-planner/app/gpt_outputs/tmpvqmg4dt5, ret 0.6755304336547852, answer /gpt-mission-planner/app/gpt_outputs/tmp996y25o5, ret 0.9187378883361816, answer /gpt-mission-planner/app/gpt_outputs/tmpqu13guy9, ret 0.38215041160583496, answer /gpt-mission-planner/app/gpt_outputs/tmpyfou61j6, succ False
input 9, model gemma3:4b, multimodal False, temp 0.25, question_time 4.168376207351685, answer /gpt-mission-planner/app/gpt_outputs/tmppp685_st, ret 5.097891330718994, answer /gpt-mission-planner/app/gpt_outputs/tmp_4mgivu1, ret 5.1173601150512695, answer /gpt-mission-planner/app/gpt_outputs/tmp05a7mlzu, ret 5.354631185531616, answer /gpt-mission-planner/app/gpt_outputs/tmpuzzzk4if, ret 5.65371298789978, answer /gpt-mission-planner/app/gpt_outputs/tmpw5zggarm, ret 5.7049720287323, answer /gpt-mission-planner/app/gpt_outputs/tmph9bbz9gr, ret 5.661508560180664, answer /gpt-mission-planner/app/gpt_outputs/tmp_ji4f5m9, ret 5.704299211502075, answer /gpt-mission-planner/app/gpt_outputs/tmpfplxxvuh, ret 5.8172149658203125, answer /gpt-mission-planner/app/gpt_outputs/tmp1wvziyud, ret 5.471938371658325, answer /gpt-mission-planner/app/gpt_outputs/tmpmvy4ji85, ret 5.239643335342407, answer /gpt-mission-planner/app/gpt_outputs/tmp9c6bocjz, succ False
input 10, model gemma3:4b, multimodal False, temp 0.25, question_time 4.697359323501587, answer /gpt-mission-planner/app/gpt_outputs/tmp3172b132, ret 5.232678174972534, answer /gpt-mission-planner/app/gpt_outputs/tmpky3c87k1, ret 5.904664039611816, answer /gpt-mission-planner/app/gpt_outputs/tmpdrh6ol4h, ret 5.904167413711548, answer /gpt-mission-planner/app/gpt_outputs/tmpzzatbvzx, ret 6.222839832305908, answer /gpt-mission-planner/app/gpt_outputs/tmpmep0fzz2, ret 6.382705926895142, answer /gpt-mission-planner/app/gpt_outputs/tmpi12t7n3d, ret 6.202460765838623, answer /gpt-mission-planner/app/gpt_outputs/tmph7fh8vf_, ret 2.3495993614196777, answer /gpt-mission-planner/app/gpt_outputs/tmp2k9l4r3o, ret 2.149888515472412, answer /gpt-mission-planner/app/gpt_outputs/tmphpkmklkr, ret 1.5499382019042969, answer /gpt-mission-planner/app/gpt_outputs/tmpi7u_1tdy, ret 1.670780897140503, answer /gpt-mission-planner/app/gpt_outputs/tmpttrloziq, succ False
input 0, model gemma3:4b, multimodal False, temp 0.5, question_time 7.806222677230835, answer /gpt-mission-planner/app/gpt_outputs/tmpwkejh8wd, ret 6.0871782302856445, answer /gpt-mission-planner/app/gpt_outputs/tmpro6d0zhp, ret 6.437660217285156, answer /gpt-mission-planner/app/gpt_outputs/tmpqyqm_5kv, ret 6.142082452774048, answer /gpt-mission-planner/app/gpt_outputs/tmpleigp2yw, ret 6.385300636291504, answer /gpt-mission-planner/app/gpt_outputs/tmp_7w7yvqb, ret 11.895440340042114, answer /gpt-mission-planner/app/gpt_outputs/tmpirhpni17, ret 5.180691480636597, answer /gpt-mission-planner/app/gpt_outputs/tmpq5vyniw4, ret 5.366957902908325, answer /gpt-mission-planner/app/gpt_outputs/tmpk2gxypbz, ret 4.492201089859009, answer /gpt-mission-planner/app/gpt_outputs/tmpc0fj2i1v, ret 3.7147953510284424, answer /gpt-mission-planner/app/gpt_outputs/tmpvk6ulw48, ret 214.3226294517517, answer /gpt-mission-planner/app/gpt_outputs/tmpwniefgr7, succ False
input 1, model gemma3:4b, multimodal False, temp 0.5, question_time 20.707087993621826, answer /gpt-mission-planner/app/gpt_outputs/tmpqz7khgzm, ret 14.196446180343628, answer /gpt-mission-planner/app/gpt_outputs/tmpwjaxua4e, ret 9.157829999923706, answer /gpt-mission-planner/app/gpt_outputs/tmp910qslgd, ret 9.688528537750244, answer /gpt-mission-planner/app/gpt_outputs/tmp9gjjdtjg, ret 6.211296796798706, answer /gpt-mission-planner/app/gpt_outputs/tmpm6x0qg0t, ret 5.841364860534668, answer /gpt-mission-planner/app/gpt_outputs/tmp870fgutr, ret 2.6839511394500732, answer /gpt-mission-planner/app/gpt_outputs/tmplqnalj4i, ret 2.3493242263793945, answer /gpt-mission-planner/app/gpt_outputs/tmpbjgolx62, ret 2.810713529586792, answer /gpt-mission-planner/app/gpt_outputs/tmp71nvbenn, ret 34.67016553878784, answer /gpt-mission-planner/app/gpt_outputs/tmpbcip4n_s, ret 9.842311382293701, answer /gpt-mission-planner/app/gpt_outputs/tmpidrdluuw, succ False
input 2, model gemma3:4b, multimodal False, temp 0.5, question_time 14.072150707244873, answer /gpt-mission-planner/app/gpt_outputs/tmpnmtj2tlg, ret 11.359493494033813, answer /gpt-mission-planner/app/gpt_outputs/tmpuzecysyy, ret 9.258150577545166, answer /gpt-mission-planner/app/gpt_outputs/tmppsq8w_sz, ret 9.053318738937378, answer /gpt-mission-planner/app/gpt_outputs/tmpa84cfe8a, ret 8.858546733856201, answer /gpt-mission-planner/app/gpt_outputs/tmpr86pcxvq, ret 8.83299994468689, answer /gpt-mission-planner/app/gpt_outputs/tmp63g3cvp3, ret 8.784884691238403, answer /gpt-mission-planner/app/gpt_outputs/tmp9m282_cg, ret 8.794615745544434, answer /gpt-mission-planner/app/gpt_outputs/tmpf51du7gb, ret 8.788511514663696, answer /gpt-mission-planner/app/gpt_outputs/tmpdcl1c6zy, ret 8.706366062164307, answer /gpt-mission-planner/app/gpt_outputs/tmp43vi0ok1, ret 8.897821426391602, answer /gpt-mission-planner/app/gpt_outputs/tmp6a_9_quo, succ False
input 3, model gemma3:4b, multimodal False, temp 0.5, question_time 5.788383722305298, answer /gpt-mission-planner/app/gpt_outputs/tmpy8a_qu6u, ret 4.797327041625977, answer /gpt-mission-planner/app/gpt_outputs/tmpd0zmfkog, ret 4.564557313919067, answer /gpt-mission-planner/app/gpt_outputs/tmpyblz29l7, ret 4.416993856430054, answer /gpt-mission-planner/app/gpt_outputs/tmpvmp5f34y, ret 4.565361261367798, answer /gpt-mission-planner/app/gpt_outputs/tmp0myzory_, ret 4.861093044281006, answer /gpt-mission-planner/app/gpt_outputs/tmpz2k_5c5q, ret 5.113750219345093, answer /gpt-mission-planner/app/gpt_outputs/tmp4jwx3chi, ret 5.178449869155884, answer /gpt-mission-planner/app/gpt_outputs/tmp1mip2ltr, ret 5.583923578262329, answer /gpt-mission-planner/app/gpt_outputs/tmpsqk2or4s, ret 5.638520002365112, answer /gpt-mission-planner/app/gpt_outputs/tmpm35_l1xk, ret 4.741189241409302, answer /gpt-mission-planner/app/gpt_outputs/tmpxae18ss6, succ False
input 4, model gemma3:4b, multimodal False, temp 0.5, question_time 4.625267028808594, answer /gpt-mission-planner/app/gpt_outputs/tmpnquh4qgx, ret 5.086653232574463, answer /gpt-mission-planner/app/gpt_outputs/tmp0cokbir6, ret 5.6584343910217285, answer /gpt-mission-planner/app/gpt_outputs/tmpeaacsbm3, ret 2.0435526371002197, answer /gpt-mission-planner/app/gpt_outputs/tmpuk37n5pf, ret 5.7682037353515625, answer /gpt-mission-planner/app/gpt_outputs/tmp4fp2b57a, ret 5.9158148765563965, answer /gpt-mission-planner/app/gpt_outputs/tmpj27fw77s, ret 5.717551231384277, answer /gpt-mission-planner/app/gpt_outputs/tmpua7h4w6b, ret 5.91864013671875, answer /gpt-mission-planner/app/gpt_outputs/tmpub5npm_b, ret 5.96536660194397, answer /gpt-mission-planner/app/gpt_outputs/tmpwokis4wk, ret 5.704235792160034, answer /gpt-mission-planner/app/gpt_outputs/tmpt1hn6i7f, ret 5.519123554229736, answer /gpt-mission-planner/app/gpt_outputs/tmpudpb3w8d, succ False
input 5, model gemma3:4b, multimodal False, temp 0.5, question_time 6.565861701965332, answer /gpt-mission-planner/app/gpt_outputs/tmp76ofyraf, ret 6.908693313598633, answer /gpt-mission-planner/app/gpt_outputs/tmp4cjgy0pr, ret 7.227097272872925, answer /gpt-mission-planner/app/gpt_outputs/tmpdtqbkpiq, ret 7.541937589645386, answer /gpt-mission-planner/app/gpt_outputs/tmpeno26zx6, ret 7.774780035018921, answer /gpt-mission-planner/app/gpt_outputs/tmp6hwrp8vw, ret 7.7883992195129395, answer /gpt-mission-planner/app/gpt_outputs/tmpzcf08exs, ret 7.742817401885986, answer /gpt-mission-planner/app/gpt_outputs/tmpuis_18xp, ret 7.822416067123413, answer /gpt-mission-planner/app/gpt_outputs/tmprqehjw06, ret 7.838946342468262, answer /gpt-mission-planner/app/gpt_outputs/tmpfa2p2lse, ret 7.696527481079102, answer /gpt-mission-planner/app/gpt_outputs/tmpdowuak2j, ret 7.769268989562988, answer /gpt-mission-planner/app/gpt_outputs/tmp0je1usjg, succ False
